Time [s], Analyzer Name, Decoded Protocol Result
1.118300000000000,I2C,Setup Write to [0x3A] + ACK
1.118332750000000,I2C,0x0B + ACK
1.118364750000000,I2C,0x18 + ACK
1.119300250000000,I2C,Setup Write to [0x3A] + ACK
1.119333000000000,I2C,0x03 + ACK
1.119364750000000,I2C,0x40 + ACK
1.120304750000000,I2C,0x74 + Missing ACK/NAK
1.120337750000000,I2C,Setup Write to [0x05] + ACK
1.120369500000000,I2C,0x0C + ACK
1.121304750000000,I2C,Setup Write to [0x3A] + ACK
1.121337500000000,I2C,0x04 + ACK
1.121369250000000,I2C,0x05 + ACK
1.122317000000000,I2C,Setup Write to [0x3A] + ACK
1.122350000000000,I2C,0x1E + ACK
1.122382250000000,I2C,0x26 + ACK
1.123303500000000,I2C,Setup Write to [0x3A] + ACK
1.123336250000000,I2C,0x1E + ACK
1.123368000000000,I2C,0x26 + ACK
1.124302750000000,I2C,Setup Write to [0x3A] + ACK
1.124335500000000,I2C,0x1E + ACK
1.124367500000000,I2C,0x27 + ACK
1.125380500000000,I2C,Setup Write to [0x3A] + ACK
1.125413750000000,I2C,0x12 + ACK
1.125446000000000,I2C,0x72 + ACK
1.126314500000000,I2C,Setup Write to [0x3A] + ACK
1.126347250000000,I2C,0x1E + ACK
1.126379250000000,I2C,0x27 + ACK
1.127306000000000,I2C,Setup Write to [0x3A] + ACK
1.127338750000000,I2C,0x1F + ACK
1.127370500000000,I2C,0x66 + ACK
1.128305750000000,I2C,Setup Write to [0x3A] + ACK
1.128338500000000,I2C,0x1B + ACK
1.128370500000000,I2C,0xC2 + ACK
1.129304750000000,I2C,Setup Write to [0x3A] + ACK
1.129337500000000,I2C,0x04 + ACK
1.129369500000000,I2C,0x05 + ACK
1.130311000000000,I2C,Setup Write to [0x3A] + ACK
1.130343750000000,I2C,0x0C + ACK
1.130375500000000,I2C,0x85 + ACK
1.131309500000000,I2C,Setup Write to [0x3A] + ACK
1.131342250000000,I2C,0x1A + ACK
1.131374250000000,I2C,0x8F + ACK
1.132315250000000,I2C,Setup Write to [0x3A] + ACK
1.132348250000000,I2C,0x05 + ACK
1.132380500000000,I2C,0x49 + ACK
1.133310000000000,I2C,Setup Write to [0x3A] + ACK
1.133343000000000,I2C,0x19 + ACK
1.133374750000000,I2C,0x40 + ACK
1.134306750000000,I2C,Setup Write to [0x3A] + ACK
1.134339500000000,I2C,0x01 + ACK
1.134371250000000,I2C,0x0C + ACK
1.135310750000000,I2C,Setup Write to [0x3A] + ACK
1.135343500000000,I2C,0x02 + ACK
1.135375250000000,I2C,0x40 + ACK
1.136311000000000,I2C,Setup Write to [0x3A] + ACK
1.136343750000000,I2C,0x08 + ACK
1.136375750000000,I2C,0x62 + ACK
1.137309000000000,I2C,Setup Write to [0x3A] + ACK
1.137341750000000,I2C,0x09 + ACK
1.137373500000000,I2C,0x40 + ACK
1.138307750000000,I2C,Setup Write to [0x3A] + ACK
1.138340500000000,I2C,0x03 + ACK
1.138372500000000,I2C,0x40 + ACK
1.139309500000000,I2C,Setup Write to [0x3A] + ACK
1.139342250000000,I2C,0x01 + ACK
1.139374000000000,I2C,0x0D + Missing ACK/NAK
1.140314750000000,I2C,Setup Write to [0x3A] + ACK
1.140347500000000,I2C,0x1E + ACK
1.140379500000000,I2C,0xA7 + ACK
1.141313500000000,I2C,Setup Write to [0x3A] + ACK
1.141346000000000,I2C,0x11 + ACK
1.141378250000000,I2C,0x02 + ACK
1.142325250000000,I2C,Setup Write to [0x3A] + ACK
1.142358000000000,I2C,0x12 + ACK
1.142390250000000,I2C,0x72 + ACK
1.143313000000000,I2C,Setup Write to [0x3A] + ACK
1.143346000000000,I2C,0x0F + ACK
1.143378000000000,I2C,0xA4 + ACK
1.144311500000000,I2C,Setup Write to [0x3A] + ACK
1.144344000000000,I2C,0x10 + ACK
1.144376000000000,I2C,0x63 + ACK
1.145331250000000,I2C,Setup Write to [0x3A] + ACK
1.145364250000000,I2C,0x17 + ACK
1.145396000000000,I2C,0x28 + ACK
1.147094500000000,I2C,Setup Write to [0x3A] + ACK
1.147127750000000,I2C,0x1D + ACK
1.147159750000000,I2C,0x30 + ACK
1.148310750000000,I2C,Setup Write to [0x3A] + ACK
1.148343500000000,I2C,0x13 + ACK
1.148375250000000,I2C,0x38 + ACK
1.149313000000000,I2C,Setup Write to [0x3A] + ACK
1.149345750000000,I2C,0x10 + ACK
1.149377500000000,I2C,0x67 + ACK
1.150318500000000,I2C,Setup Write to [0x3A] + ACK
1.150351250000000,I2C,0x10 + ACK
1.150383250000000,I2C,0x67 + ACK
1.151315000000000,I2C,Setup Write to [0x3A] + ACK
1.151347500000000,I2C,0x14 + ACK
1.151379500000000,I2C,0xAE + ACK
1.152320250000000,I2C,Setup Write to [0x3A] + ACK
1.152353000000000,I2C,0x12 + ACK
1.152385000000000,I2C,0x72 + ACK
1.153318250000000,I2C,Setup Write to [0x3A] + ACK
1.153351000000000,I2C,0x16 + ACK
1.153382750000000,I2C,0x7F + Missing ACK/NAK
1.154314250000000,I2C,Setup Write to [0x3A] + ACK
1.154347000000000,I2C,0x15 + ACK
1.154379000000000,I2C,0xFE + ACK
1.175327250000000,I2C,Setup Write to [0x3A] + ACK
1.175360500000000,I2C,0x00 + ACK
1.176085250000000,I2C,Setup Read to [0x3A] + ACK
1.176118500000000,I2C,0x69 + ACK
1.176172500000000,I2C,Setup Read to [0x5D] + NAK
1.177011000000000,I2C,Setup Write to [0x3A] + ACK
1.177043750000000,I2C,0x00 + ACK
1.177768000000000,I2C,Setup Read to [0x3A] + ACK
1.177799750000000,I2C,0x69 + ACK
1.177830500000000,I2C,0xBD + ACK
1.177861500000000,I2C,0xEE + NAK
1.178686250000000,I2C,Setup Write to [0x3A] + ACK
1.178718750000000,I2C,0x00 + ACK
1.179442750000000,I2C,Setup Read to [0x3A] + ACK
1.179493250000000,I2C,Setup Read to [0x2B] + NAK
1.179524000000000,I2C,0x5D + NAK
1.180365000000000,I2C,Setup Write to [0x3A] + ACK
1.180397500000000,I2C,0x00 + ACK
1.181121750000000,I2C,Setup Read to [0x3A] + ACK
1.181153750000000,I2C,0x69 + ACK
1.181184500000000,I2C,0xBD + ACK
1.182040250000000,I2C,Setup Write to [0x3A] + ACK
1.182072750000000,I2C,0x1D + ACK
1.182104750000000,I2C,0xF0 + ACK
1.183325750000000,I2C,Setup Write to [0x3A] + ACK
1.183358500000000,I2C,0x01 + ACK
1.183390750000000,I2C,0x0C + ACK
1.184328250000000,I2C,Setup Write to [0x3A] + ACK
1.184361000000000,I2C,0x1E + ACK
1.184393000000000,I2C,0x27 + ACK
1.185341500000000,I2C,Setup Write to [0x3A] + ACK
1.185374250000000,I2C,0x00 + ACK
1.185406250000000,I2C,0x12 + ACK
1.186329250000000,I2C,Setup Write to [0x3A] + ACK
1.186362000000000,I2C,0x00 + ACK
1.186393750000000,I2C,0x92 + ACK
1.187327250000000,I2C,Setup Write to [0x3A] + ACK
1.187360000000000,I2C,0x04 + ACK
1.187391750000000,I2C,0x05 + ACK
1.188332500000000,I2C,Setup Write to [0x3A] + ACK
1.188365250000000,I2C,0x1B + ACK
1.188397000000000,I2C,0xC3 + ACK
1.189330000000000,I2C,Setup Write to [0x3A] + ACK
1.189362500000000,I2C,0x0D + ACK
1.189394500000000,I2C,0xA5 + ACK
1.190333000000000,I2C,Setup Write to [0x3A] + ACK
1.190365750000000,I2C,0x1C + ACK
1.190397750000000,I2C,0x25 + ACK
1.191328250000000,I2C,Setup Write to [0x3A] + ACK
1.191361000000000,I2C,0x0E + ACK
1.191393000000000,I2C,0x95 + ACK
1.192328500000000,I2C,Setup Write to [0x3A] + ACK
1.192361250000000,I2C,0x1A + ACK
1.192393250000000,I2C,0x4F + ACK
1.193328500000000,I2C,Setup Write to [0x3A] + ACK
1.193361250000000,I2C,0x1C + ACK
1.193393250000000,I2C,0x95 + ACK
1.194332500000000,I2C,Setup Write to [0x3A] + ACK
1.194365000000000,I2C,0x1B + ACK
1.194397000000000,I2C,0xC3 + ACK
1.195335250000000,I2C,Setup Write to [0x3A] + ACK
1.195368250000000,I2C,0x01 + ACK
1.195400250000000,I2C,0x0C + ACK
1.196330750000000,I2C,Setup Write to [0x3A] + ACK
1.196363500000000,I2C,0x17 + Missing ACK/NAK
1.196395250000000,I2C,Setup Write to [0x04] + ACK
1.197332000000000,I2C,Setup Write to [0x3A] + ACK
1.197364750000000,I2C,0x07 + ACK
1.197396750000000,I2C,0xF5 + ACK
1.198330750000000,I2C,Setup Write to [0x3A] + ACK
1.198363500000000,I2C,0x1E + ACK
1.198395500000000,I2C,0x27 + ACK
1.199334000000000,I2C,Setup Write to [0x3A] + ACK
1.199366750000000,I2C,0x06 + ACK
1.199398500000000,I2C,0x13 + ACK
1.200349000000000,I2C,Setup Write to [0x3A] + ACK
1.200381750000000,I2C,0x1B + ACK
1.200414000000000,I2C,0xC3 + ACK
1.201334000000000,I2C,Setup Write to [0x3A] + ACK
1.201366500000000,I2C,0x1F + ACK
1.201398500000000,I2C,0x27 + Missing ACK/NAK
1.202345750000000,I2C,Setup Write to [0x3A] + ACK
1.202378750000000,I2C,0x03 + ACK
1.202411000000000,I2C,0x40 + ACK
1.203334000000000,I2C,Setup Write to [0x3A] + ACK
1.203366500000000,I2C,0x02 + ACK
1.203398500000000,I2C,0x40 + ACK
3.032176500000000,I2C,Setup Write to [0x3A] + ACK
3.032209750000000,I2C,0x00 + ACK
3.032242000000000,I2C,0x02 + ACK
3.032273750000000,I2C,0x44 + ACK
3.032305750000000,I2C,0x40 + ACK
3.032338000000000,I2C,0x40 + ACK
3.032369750000000,I2C,0x05 + ACK
3.032401750000000,I2C,0x69 + ACK
3.032433750000000,I2C,0x17 + ACK
3.032465500000000,I2C,0x75 + ACK
3.032497500000000,I2C,0x40 + ACK
3.032529250000000,I2C,0x40 + ACK
3.032561250000000,I2C,0x06 + ACK
3.032593250000000,I2C,0x08 + ACK
3.032625000000000,I2C,0x89 + ACK
3.032657000000000,I2C,0xA4 + ACK
3.032688750000000,I2C,0x95 + ACK
3.032720750000000,I2C,0x9C + ACK
3.032752500000000,I2C,0x73 + ACK
3.032784500000000,I2C,0x02 + ACK
3.032816500000000,I2C,0x72 + ACK
