Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.118991750000000,75,0x3A,0x69,Read,ACK
0.119022750000000,75,0x3A,0xC9,Read,NAK
0.119877500000000,76,0x3A,0x00,Write,ACK
0.121521000000000,78,0x3A,0x0C,Write,ACK
0.121553000000000,78,0x3A,0x13,Write,ACK
0.135597000000000,79,0x3A,0x00,Write,ACK
0.136353750000000,80,0x3A,0x69,Read,ACK
0.136385500000000,80,0x3A,0xF9,Read,NAK
0.137246250000000,81,0x3A,0x00,Write,ACK
0.138002000000000,82,0x3A,0x69,Read,ACK
0.138887750000000,83,0x3A,0x00,Write,ACK
0.139643750000000,84,0x3A,0x69,Read,ACK
0.139674750000000,84,0x3A,0xF9,Read,NAK
0.140532250000000,85,0x3A,0x0C,Write,ACK
0.140564500000000,85,0x3A,0x14,Write,ACK
0.160909750000000,86,0x3A,0x00,Write,ACK
0.161667250000000,87,0x3A,0x69,Read,ACK
0.161699000000000,87,0x3A,0xE5,Read,NAK
0.162563500000000,88,0x3A,0x00,Write,ACK
0.163801250000000,89,0x3A,0x69,Read,ACK
0.163832500000000,89,0x3A,0xA5,Read,NAK
0.165152250000000,90,0x3A,0x00,Write,ACK
0.166984000000000,91,0x3A,0x69,Read,ACK
0.167015500000000,91,0x3A,0xE5,Read,NAK
0.169779750000000,92,0x3A,0x0C,Write,ACK
0.169812000000000,92,0x3A,0x15,Write,ACK
0.267653000000000,93,0x3A,0x00,Write,ACK
0.269304500000000,96,0x3A,0x00,Write,ACK
0.270062000000000,97,0x3A,0x69,Read,ACK
0.270093500000000,97,0x3A,0xF5,Read,NAK
0.270969500000000,98,0x3A,0x00,Write,ACK
0.273250500000000,101,0x3A,0x00,Write,ACK
0.273282750000000,101,0x3A,0x00,Write,ACK
0.374768500000000,102,0x3A,0x00,Write,ACK
0.376420250000000,104,0x3A,0x00,Write,ACK
0.377176250000000,105,0x3A,0x69,Read,ACK
0.377207000000000,105,0x3A,0x19,Read,NAK
0.378062250000000,106,0x3A,0x00,Write,ACK
0.379742000000000,109,0x00,0x02,Write,ACK
0.379774000000000,109,0x00,0x44,Write,ACK
0.379805750000000,109,0x00,0x40,Write,ACK
0.379837750000000,109,0x00,0x40,Write,ACK
0.379869500000000,109,0x00,0x05,Write,ACK
0.379901500000000,109,0x00,0x69,Write,ACK
0.379933250000000,109,0x00,0x17,Write,ACK
0.379965750000000,109,0x00,0x75,Write,ACK
0.379997750000000,109,0x00,0x40,Write,ACK
0.380029500000000,109,0x00,0x40,Write,ACK
0.380061500000000,109,0x00,0x06,Write,ACK
0.380093500000000,109,0x00,0x08,Write,ACK
0.380189000000000,110,0x52,0x95,Write,ACK
0.380221000000000,110,0x52,0x9C,Write,ACK
0.380253000000000,110,0x52,0x73,Write,ACK
0.380284750000000,110,0x52,0x02,Write,ACK
0.380316750000000,110,0x52,0x72,Write,ACK
0.380348500000000,110,0x52,0x20,Write,ACK
0.380380500000000,110,0x52,0x0B,Write,ACK
0.380412500000000,110,0x52,0xAA,Write,ACK
0.380444250000000,110,0x52,0xAA,Write,ACK
0.380476250000000,110,0x52,0x28,Write,ACK
0.380508000000000,110,0x52,0x30,Write,ACK
0.380540000000000,110,0x52,0x40,Write,ACK
0.380571750000000,110,0x52,0x87,Write,ACK
0.380603750000000,110,0x52,0xC2,Write,ACK
0.380635750000000,110,0x52,0x25,Write,ACK
0.380667500000000,110,0x52,0x30,Write,ACK
0.380699500000000,110,0x52,0x26,Write,ACK
0.380731250000000,110,0x52,0x47,Write,ACK
0.381689750000000,111,0x3A,0x04,Write,ACK
0.381721750000000,111,0x3A,0x65,Write,ACK
0.382688250000000,112,0x3A,0x06,Write,ACK
0.383687250000000,113,0x3A,0x05,Write,ACK
0.383719250000000,113,0x3A,0xFF,Write,ACK
0.384688000000000,114,0x3A,0x07,Write,ACK
0.384720000000000,114,0x3A,0x68,Write,ACK
0.385691000000000,115,0x3A,0x1A,Write,ACK
0.385722750000000,115,0x3A,0x90,Write,ACK
0.386689750000000,116,0x3A,0x1E,Write,ACK
0.386721750000000,116,0x3A,0xAE,Write,ACK
0.387689250000000,117,0x3A,0x03,Write,ACK
0.387721250000000,117,0x3A,0x40,Write,ACK
0.388689250000000,118,0x3A,0x01,Write,ACK
0.388721000000000,118,0x3A,0x45,Write,ACK
0.389689500000000,119,0x3A,0x18,Write,ACK
0.389721250000000,119,0x3A,0x20,Write,ACK
0.390692500000000,120,0x3A,0x0A,Write,ACK
0.390724500000000,120,0x3A,0x0F,Write,ACK
0.391691250000000,121,0x3A,0x0B,Write,ACK
0.391723250000000,121,0x3A,0x60,Write,ACK
0.392690250000000,122,0x3A,0x0C,Write,ACK
0.392722250000000,122,0x3A,0x3B,Write,ACK
0.393691000000000,123,0x3A,0x1D,Write,ACK
0.393722750000000,123,0x3A,0x32,Write,ACK
0.394698000000000,124,0x3A,0x07,Write,ACK
0.394730250000000,124,0x3A,0x68,Write,ACK
0.395696250000000,125,0x3A,0x18,Write,ACK
0.395728000000000,125,0x3A,0xA9,Write,ACK
0.396693750000000,126,0x3A,0x19,Write,ACK
0.396725750000000,126,0x3A,0x40,Write,ACK
0.397692000000000,127,0x3A,0x19,Write,ACK
0.397724000000000,127,0x3A,0x40,Write,ACK
0.398698500000000,128,0x3A,0x05,Write,ACK
0.398730500000000,128,0x3A,0xBF,Write,ACK
0.399695500000000,129,0x3A,0x19,Write,ACK
0.399727500000000,129,0x3A,0x00,Write,ACK
0.400696500000000,130,0x3A,0x01,Write,ACK
0.400728250000000,130,0x3A,0x05,Write,ACK
0.401695250000000,131,0x3A,0x02,Write,ACK
0.401727250000000,131,0x3A,0x40,Write,ACK
0.402694000000000,132,0x3A,0x08,Write,ACK
0.402726000000000,132,0x3A,0x40,Write,ACK
0.403695500000000,133,0x3A,0x09,Write,ACK
0.403727500000000,133,0x3A,0x40,Write,ACK
0.404698500000000,134,0x3A,0x03,Write,ACK
0.404730250000000,134,0x3A,0x40,Write,ACK
0.405700000000000,135,0x3A,0x01,Write,ACK
0.405731750000000,135,0x3A,0x05,Write,ACK
0.406698750000000,136,0x3A,0x1E,Write,ACK
0.406730500000000,136,0x3A,0xAE,Write,ACK
0.407698750000000,137,0x3A,0x11,Write,ACK
0.407730750000000,137,0x3A,0x02,Write,ACK
0.408697750000000,138,0x3A,0x12,Write,ACK
0.408730000000000,138,0x3A,0x72,Write,ACK
0.409699000000000,139,0x3A,0x0F,Write,ACK
0.409730750000000,139,0x3A,0x9C,Write,ACK
0.410701500000000,140,0x3A,0x10,Write,ACK
0.410733500000000,140,0x3A,0x73,Write,ACK
0.411698750000000,141,0x3A,0x17,Write,ACK
0.411730750000000,141,0x3A,0x28,Write,ACK
0.412730250000000,142,0x0E,0x32,Read,ACK
0.413699500000000,143,0x3A,0x13,Write,ACK
0.413731250000000,143,0x3A,0x20,Write,ACK
0.414703500000000,144,0x3A,0x10,Write,ACK
0.414735250000000,144,0x3A,0x73,Write,ACK
0.415702500000000,145,0x3A,0x10,Write,ACK
0.415734500000000,145,0x3A,0x33,Write,ACK
0.416702750000000,146,0x3A,0x14,Write,ACK
0.416734500000000,146,0x3A,0x4D,Write,ACK
0.417700250000000,147,0x3A,0x12,Write,ACK
0.417732250000000,147,0x3A,0x7A,Write,ACK
0.418712250000000,148,0x3A,0x16,Write,ACK
0.418744250000000,148,0x3A,0x00,Write,ACK
0.430705500000000,151,0x3A,0x00,Write,ACK
0.431463000000000,152,0x3A,0x69,Read,ACK
0.431494250000000,152,0x3A,0xC9,Read,ACK
0.431525500000000,152,0x3A,0x2A,Read,NAK
0.432386500000000,153,0x3A,0x00,Write,ACK
0.433173500000000,154,0x34,0xC9,Read,ACK
0.433204500000000,154,0x34,0x2A,Read,NAK
0.434061750000000,155,0x3A,0x00,Write,ACK
0.434817500000000,156,0x3A,0x69,Read,ACK
0.435745750000000,157,0x3A,0x00,Write,ACK
0.436502000000000,158,0x3A,0x69,Read,ACK
0.436533000000000,158,0x3A,0xC9,Read,ACK
0.436564000000000,158,0x3A,0x2A,Read,NAK
0.437421250000000,159,0x3A,0x1D,Write,ACK
0.437453000000000,159,0x3A,0xF2,Write,ACK
0.438706500000000,160,0x3A,0x01,Write,ACK
0.438738500000000,160,0x3A,0x05,Write,ACK
0.439709000000000,161,0x3A,0x1E,Write,ACK
0.439740750000000,161,0x3A,0xAE,Write,ACK
0.440713250000000,162,0x3A,0x00,Write,ACK
0.440745250000000,162,0x3A,0x07,Write,ACK
0.441710500000000,163,0x3A,0x0C,Write,ACK
0.441742500000000,163,0x3A,0x3B,Write,ACK
0.510741250000000,164,0x3A,0x00,Write,ACK
0.511498750000000,165,0x3A,0x69,Read,ACK
0.511531250000000,165,0x3A,0xC9,Read,NAK
0.512392750000000,166,0x3A,0x00,Write,ACK
0.513148750000000,167,0x3A,0x69,Read,ACK
0.513179500000000,167,0x3A,0xC9,Read,NAK
0.514037250000000,168,0x3A,0x00,Write,ACK
0.514793000000000,169,0x3A,0x69,Read,ACK
0.514823750000000,169,0x3A,0xC9,Read,NAK
0.515685500000000,170,0x3A,0x0C,Write,ACK
0.515717500000000,170,0x3A,0x3C,Write,ACK
0.529745000000000,171,0x3A,0x00,Write,ACK
0.531393750000000,173,0x3A,0x00,Write,ACK
0.532149750000000,174,0x3A,0x69,Read,ACK
0.532180750000000,174,0x3A,0x29,Read,NAK
0.533035750000000,175,0x3A,0x00,Write,ACK
0.534681000000000,177,0x3A,0x0C,Write,ACK
0.534712750000000,177,0x3A,0x3D,Write,ACK
0.548750500000000,178,0x3A,0x00,Write,ACK
0.549507500000000,179,0x3A,0x69,Read,ACK
0.549539500000000,179,0x3A,0x19,Read,NAK
0.550399000000000,180,0x3A,0x00,Write,ACK
0.551155000000000,181,0x3A,0x69,Read,ACK
0.552041000000000,182,0x3A,0x00,Write,ACK
0.552797000000000,183,0x3A,0x69,Read,ACK
0.552828000000000,183,0x3A,0x19,Read,NAK
0.553685000000000,184,0x3A,0x0C,Write,ACK
0.553717000000000,184,0x3A,0x3E,Write,ACK
0.567885500000000,185,0x3A,0x00,Write,ACK
0.568644250000000,186,0x3A,0x69,Read,ACK
0.568676750000000,186,0x3A,0x99,Read,NAK
0.570270750000000,187,0x3A,0x00,Write,ACK
0.571032500000000,188,0x3A,0x69,Read,ACK
0.571064000000000,188,0x3A,0x99,Read,NAK
0.571928250000000,189,0x3A,0x00,Write,ACK
0.572684250000000,190,0x3A,0x69,Read,ACK
0.573573250000000,191,0x3A,0x0C,Write,ACK
0.587771500000000,192,0x3A,0x00,Write,ACK
0.588528500000000,193,0x3A,0x69,Read,ACK
0.589422750000000,194,0x3A,0x00,Write,ACK
0.590179000000000,195,0x3A,0x69,Read,ACK
0.590209750000000,195,0x3A,0xB9,Read,NAK
0.591080500000000,196,0x3A,0x00,Write,ACK
0.592734750000000,198,0x3A,0x08,Write,ACK
0.592767000000000,198,0x3A,0x40,Write,ACK
0.593769000000000,199,0x3A,0x09,Write,ACK
0.593801000000000,199,0x3A,0x40,Write,ACK
0.597775750000000,200,0x3A,0x00,Write,ACK
0.598532250000000,201,0x3A,0x69,Read,ACK
0.598564750000000,201,0x3A,0xB9,Read,NAK
0.599424000000000,202,0x3A,0x00,Write,ACK
0.600180000000000,203,0x3A,0x69,Read,ACK
0.601069750000000,204,0x3A,0x00,Write,ACK
0.601825750000000,205,0x3A,0x69,Read,ACK
0.601856500000000,205,0x3A,0xB9,Read,NAK
0.602713750000000,206,0x3A,0x08,Write,ACK
0.602745750000000,206,0x3A,0x40,Write,ACK
0.603771500000000,207,0x3A,0x09,Write,ACK
0.603803500000000,207,0x3A,0x41,Write,ACK
0.607773000000000,208,0x3A,0x00,Write,ACK
0.608529750000000,209,0x3A,0x69,Read,ACK
0.609420750000000,210,0x3A,0x00,Write,ACK
0.610176750000000,211,0x3A,0x69,Read,ACK
0.610207750000000,211,0x3A,0x85,Read,NAK
0.611063000000000,212,0x3A,0x00,Write,ACK
0.611818750000000,213,0x3A,0x69,Read,ACK
0.612706500000000,214,0x3A,0x08,Write,ACK
0.612738500000000,214,0x3A,0x40,Write,ACK
0.613775000000000,215,0x3A,0x09,Write,ACK
0.613806750000000,215,0x3A,0x61,Write,ACK
0.617790000000000,216,0x3A,0x00,Write,ACK
0.618547500000000,217,0x3A,0x69,Read,ACK
0.618579500000000,217,0x3A,0x25,Read,NAK
0.619444250000000,218,0x3A,0x00,Write,ACK
0.621086500000000,220,0x3A,0x00,Write,ACK
0.621842000000000,221,0x3A,0x69,Read,ACK
0.621873000000000,221,0x3A,0x25,Read,NAK
0.622731250000000,222,0x3A,0x08,Write,ACK
0.622763000000000,222,0x3A,0x41,Write,ACK
0.623779000000000,223,0x3A,0x09,Write,ACK
0.623811000000000,223,0x3A,0x40,Write,ACK
0.629153750000000,224,0x3A,0x00,Write,ACK
0.630805000000000,227,0x3A,0x00,Write,ACK
0.631561250000000,228,0x3A,0x69,Read,ACK
0.631592250000000,228,0x3A,0xD5,Read,NAK
0.632447500000000,229,0x3A,0x00,Write,ACK
0.633235500000000,230,0x34,0x55,Read,NAK
0.634098750000000,231,0x3A,0x08,Write,ACK
0.634131000000000,231,0x3A,0x61,Write,ACK
0.635813750000000,232,0x3A,0x09,Write,ACK
0.635846000000000,232,0x3A,0x40,Write,ACK
0.639785500000000,233,0x3A,0x00,Write,ACK
0.640542250000000,234,0x3A,0x69,Read,ACK
0.640574000000000,234,0x3A,0xD1,Read,NAK
0.641433250000000,235,0x3A,0x00,Write,ACK
0.643075250000000,237,0x3A,0x00,Write,ACK
0.643831250000000,238,0x3A,0x69,Read,ACK
0.643862000000000,238,0x3A,0xD1,Read,NAK
0.644719250000000,239,0x3A,0x08,Write,ACK
0.644751000000000,239,0x3A,0x40,Write,ACK
0.645787250000000,240,0x3A,0x09,Write,ACK
0.645819000000000,240,0x3A,0x42,Write,ACK
0.649788000000000,241,0x3A,0x00,Write,ACK
0.651444750000000,243,0x3A,0x00,Write,ACK
0.652201250000000,244,0x3A,0x69,Read,ACK
0.652232250000000,244,0x3A,0x95,Read,NAK
